83e, 802
b29, 802
db2, 801
f38, 802
fc4, 801
ef9, 803
d3b, 801
a8f, 802
797, 801
498, 802
233, 802
a3, 801
42, 801
104, 802
2e5, 801
584, 802
895, 801
b75, 802
deb, 802
f55, 802
fbf, 801
ed4, 802
cf9, 802
a3c, 800
743, 801
44c, 803
1fd, 801
8a, 801
47, 801
12c, 803
327, 801
5d5, 802
8ea, 802
bc1, 800
e23, 801
f6b, 800
fb5, 801
eaa, 803
cb8, 801
9eb, 802
6f0, 802
405, 800
1c7, 802
73, 802
51, 801
155, 802
36c, 802
627, 803
941, 801
c0c, 800
e52, 802
f81, 800
fa8, 802
e7d, 800
c73, 801
99b, 801
699, 801
3ba, 800
195, 801
5f, 802
62, 801
184, 801
3af, 801
67b, 800
992, 801
c52, 800
e87, 801
f93, 800
f97, 801
e4f, 803
c2b, 800
946, 800
648, 802
374, 800
166, 801
51, 802
73, 801
1b5, 800
3f8, 802
6ce, 800
9e3, 801
c97, 800
eb2, 801
fa0, 802
f86, 801
e1b, 800
be4, 801
8f2, 800
5f2, 801
332, 803
13a, 802
45, 800
89, 801
1e6, 800
445, 802
722, 800
a38, 801
cdc, 802
eda, 801
fab, 802
f6d, 801
de5, 800
b98, 801
89d, 800
5a1, 801
2ef, 802
113, 801
3c, 800
a1, 801
21d, 803
48f, 802
777, 800
a88, 801
d1c, 800
f01, 801
faf, 800
f52, 801
daf, 800
b4b, 801
847, 802
54f, 802
2b0, 800
ee, 801
37, 800
bf, 801
257, 802
4db, 802
7cb, 802
ad8, 802
d5a, 800
f24, 801
fb2, 802
f35, 801
d75, 800
afd, 800
7f3, 803
503, 801
272, 802
ce, 801
37, 803
dc, 802
291, 802
52c, 802
81f, 802
b2a, 7ff
d94, 802
f44, 7ff
fb0, 800
f10, 801
d3a, 800
aae, 802
79d, 803
4b5, 802
239, 802
ae, 802
3c, 803
102, 801
2d2, 800
57b, 802
875, 800
b75, 801
dce, 800
f61, 802
fae, 802
eee, 801
cf7, 802
a5d, 801
749, 802
465, 801
1ff, 803
95, 802
41, 800
126, 802
314, 802
5cd, 802
8cb, 800
bc1, 801
e02, 802
f7a, 801
fa3, 800
ec4, 802
cb5, 802
a0c, 801
6f4, 800
41b, 801
1cc, 802
7d, 802
4b, 803
153, 802
354, 802
620, 801
91f, 800
c0c, 802
e39, 803
f90, 802
f97, 800
e97, 801
c73, 802
9b8, 801
6a0, 800
3d4, 801
199, 802
69, 801
58, 803
17f, 801
39b, 802
672, 802
973, 800
c53, 801
e68, 802
fa1, 802
f88, 802
e6b, 801
c2a, 802
966, 802
64c, 802
38c, 801
169, 802
5a, 802
69, 803
1b1, 802
3e3, 800
6c8, 801
9c7, 802
c9b, 801
e96, 802
fb0, 802
f75, 800
e37, 801
be2, 800
910, 801
5f9, 800
347, 802
140, 802
4b, 801
7e, 802
1e2, 802
42c, 802
71c, 802
a19, 802
cdd, 801
ec2, 802
fba, 801
f5f, 802
e03, 801
b98, 800
8b9, 801
5a8, 800
305, 801
115, 802
44, 801
96, 800
219, 801
478, 800
770, 802
a6a, 800
d1e, 802
ee7, 802
fc1, 802
f45, 802
dcd, 800
b4c, 802
866, 801
557, 800
2c5, 802
f1, 802
3d, 801
b3, 802
251, 801
4c5, 800
7c6, 801
abc, 802
d5f, 802
f0b, 800
fc4, 801
f27, 802
d92, 802
afe, 800
810, 802
506, 802
288, 801
cc, 802
3c, 801
d1, 800
28e, 802
513, 802
81c, 802
b0a, 800
d9c, 801
f2e, 800
fc4, 801
f07, 802
d55, 801
ab0, 802
7bc, 802
4bb, 802
24a, 801
af, 802
3f, 802
f3, 801
2cb, 801
562, 800
872, 801
b57, 801
dd5, 801
f49, 800
fc1, 801
edf, 801
d17, 801
a5f, 800
766, 802
46c, 802
214, 801
92, 802
44, 802
11a, 802
30c, 802
5b2, 802
8c8, 802
ba2, 800
e0a, 801
f64, 802
fb9, 802
eba, 800
cd3, 7ff
a0d, 803
711, 801
422, 803
1dd, 7ff
7b, 802
4e, 801
144, 800
351, 801
606, 802
91c, 801
bec, 800
e3f, 802
f7b, 800
fad, 802
e90, 802
c91, 801
9ba, 800
6bb, 801
3db, 803
1aa, 801
67, 801
5b, 802
170, 800
393, 801
659, 800
970, 802
c36, 802
e6f, 802
f8c, 802
f9f, 801
e60, 802
c49, 801
969, 800
668, 801
392, 803
17b, 802
57, 802
6b, 801
1a1, 800
3db, 802
6ac, 803
9c4, 802
c79, 802
e9e, 801
f9a, 802
f8b, 802
e32, 802
c01, 801
912, 802
617, 801
34d, 802
14b, 801
4b, 802
7f, 801
1d3, 802
425, 802
700, 800
a16, 801
cbf, 800
ec9, 801
fa6, 802
f77, 801
dfb, 802
bb9, 802
8be, 802
5c3, 802
30b, 800
125, 802
41, 800
98, 802
209, 800
46f, 802
754, 802
a69, 802
d01, 800
ef3, 801
fae, 802
f5c, 801
dc6, 803
b6b, 802
869, 802
572, 802
2ca, 802
fd, 801
39, 803
b3, 801
23e, 800
4be, 802
7a8, 800
ab7, 801
d41, 802
f17, 802
fb2, 802
f42, 801
d8d, 800
b1d, 801
815, 802
523, 802
28d, 800
da, 802
36, 800
d0, 801
279, 802
50d, 802
800, 800
b09, 801
d7e, 802
f37, 801
fb3, 803
f21, 801
d50, 800
acd, 801
7c2, 800
4d2, 801
24f, 800
bd, 801
3a, 803
f5, 801
2b8, 803
55c, 802
854, 802
b55, 802
db7, 801
f57, 801
fb0, 801
efc, 801
d12, 801
a80, 801
76b, 802
485, 802
218, 803
9f, 801
3e, 802
118, 802
